103 3
f1	f2	f3	t
0.1 	0.2 	0.2	2
0.8 	0.5 	0.1	2
0.75 	0.6 	0.15	2
0.7 	0.55 	0.1	2
0.65 	0.45 	0.1	2
0.6 	0.47 	0.3	1
0.3 	0.3 	0.15	2
0.5 	0.35 	0.45	0
0.45 	0.2 	0.2	1
0.1 	0.25 	0.1	2
0.35 	0.3 	0.2	2
0.3 	0.35 	0.15	2
0.25 	0.2 	0.3	1
0.2 	0.25 	0.6	0
0.15 	0.3 	0.5	0
0.1 	0.35 	0.7	0
0.4 	0.25 	0.1	2
0.35 	0.3 	0.4	0
0.3 	0.35 	0.3	1
0.25 	0.4 	0.5	1
0.2 	0.45 	0.4	2
0.15 	0.35 	0.6	0
0.1 	0.3 	0.4	1
0.5 	0.25 	0.4	0
0.23 	0.2 	0.25	1
0.4 	0.15 	0.35	0
0.35 	0.1 	0.2	1
0.3 	0.3 	0.6	0
0.2 	0.25 	0.2	2
0.15 	0.2 	0.6	0
0.5 	0.4 	0.1	2
0.45 	0.35 	0.5	0
0.4 	0.3 	0.2	1
0.35 	0.25 	0.4	0
0.3 	0.2 	0.3	1
0.35 	0.15 	0.45	0
0.4 	0.1 	0.15	1
0.45 	0.25 	0.5	0
0.5 	0.2 	0.2	1
0.35 	0.15 	0.5	0
0.5 	0.15 	0.1	1
0.15 	0.21 	0.21	2
0.81 	0.6 	0.15	2
0.6 	0.7 	0.15	2
0.4 	0.7 	0.2	2
0.5 	0.6 	0.3	2
0.7 	0.34 	0.15	1
0.31 	0.33 	0.16	2
0.51 	0.37 	0.6	0
0.47 	0.34 	0.25	1
0.12 	0.56 	0.05	2
0.37 	0.56 	0.2	2
0.32 	0.4 	0.16	2
0.23 	0.22 	0.35	1
0.23 	0.15 	0.65	0
0.2 	0.1 	0.76	0
0.2 	0.2 	0.45	0
0.45 	0.45 	0.05	2
0.4 	0.2 	0.67	0
0.33 	0.33 	0.33	1
0.27 	0.6 	0.63	1
0.22 	0.56 	0.2	2
0.25 	0.25 	0.65	0
0.15 	0.3 	0.43	1
0.56 	0.34 	0.67	0
0.27 	0.23 	0.27	1
0.45 	0.25 	0.56	0
0.35 	0.2 	0.21	1
0.34 	0.5 	0.7	0
0.28 	0.45 	0.06	2
0.2 	0.1 	0.78	0
0.3 	0.4 	0.04	2
0.55 	0.4 	0.55	0
0.34 	0.22 	0.22	1
0.56 	0.3 	0.67	0
0.2 	0.23 	0.31	1
0.33 	0.3 	0.67	0
0.44 	0.2 	0.23	1
0.48 	0.45 	0.87	0
0.55 	0.4 	0.23	1
0.47 	0.1 	0.78	0
0.4 	0.35 	0.2	1
0.23 	0.5 	0.22	2
0.12 	0.12 	0.87	0
0.2 	0.33 	0.33	1
0.5 	0.3 	0.5	0
0.3 	0.33 	0.28	1
0.23 	0.22 	0.65	0
0.31 	0.25 	0.31	1
0.44 	0.45 	0.67	0
0.4 	0.67 	0.1	2
0.14 	0.15 	0.7	0
0.12 	0.8 	0.3	2
0.45 	0.34 	0.56	0
0.7 	0.56 	0.34	1
0.78 	0.69 	0.66	0
0.87 	0.45 	0.13	1
0.31 	0.22 	0.63	0
0.49 	0.5 	0.45	1
0.45 	0.34 	0.77	0
0.4 	0.55 	0.45	1
0.47 	0.15 	0.77	0
0.3 	0.5 	0.45	1
